mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
60603,Puniru wa Kawaii Slime 2nd Season,2025,Manga,Comedy,12,4734,2823,Q1 малые,0.5959,0.3264,0.0019,0.8047,0.1883,Остальные,Продолжение
44274,Puraore! Pride of Orange,2021,Mixed media,Sports,12,29187,16840,Q1 малые,0.5769,0.3393,0.0033,0.7436,0.2522,Остальные,Дебют
51297,Ragna Crimson,2023,Manga,Action,24,260151,184644,Q4 крупные,0.7096,0.4354,0.006,0.8413,0.6134,Нишевые любимчики,Дебют
40958,Rail Romanesque,2020,Visual novel,Slice of Life,12,31681,20422,Q2,0.6446,0.3876,0.0008,0.7627,0.2776,Остальные,Дебют
44583,Rail Romanesque 2,2023,Visual novel,Slice of Life,13,7471,2202,Q1 малые,0.2947,0.1434,0.0013,0.7211,0.0239,Остальные,Продолжение
56964,Raise wa Tanin ga Ii,2024,Manga,Romance,12,138354,98321,Q3,0.7106,0.4787,0.0052,0.8336,0.624,Остальные,Дебют
57325,Ramen Akaneko,2024,Manga,Comedy,12,16958,11026,Q1 малые,0.65,0.401,0.0055,0.7483,0.5086,Остальные,Дебют
59145,Ranma ½ (2024),2024,Manga,Action,12,145159,110475,Q3,0.7611,0.5616,0.0074,0.8815,0.7863,Флагманы,Дебют
48406,Re-Main,2021,Original,Sports,12,146678,96750,Q3,0.6596,0.4588,0.006,0.8552,0.5843,Нишевые любимчики,Дебют
56690,Re:Monster,2024,Light novel,Action,12,173775,152099,Q3,0.8746,0.6568,0.003,0.9133,0.7133,Надёжный просмотр,Дебют
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,Light novel,Drama,13,1231794,1034315,Q4 крупные,0.8395,0.7336,0.01,0.9549,0.9304,Флагманы,Продолжение
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2021,Light novel,Drama,12,1019999,863961,Q4 крупные,0.847,0.7279,0.013,0.9551,0.95,Флагманы,Продолжение
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,2024,Light novel,Drama,16,440843,295124,Q4 крупные,0.6689,0.4328,0.0138,0.8864,0.657,Нишевые любимчики,Продолжение
40129,Rebirth,2020,Card game,Comedy,48,5068,2807,Q1 малые,0.5539,0.1342,0.0006,0.5934,0.0639,Остальные,Дебют
49179,Reiwa no Di Gi Charat,2022,Original,Comedy,16,5778,2918,Q1 малые,0.505,0.2674,0.0031,0.7305,0.1602,Остальные,Дебют
56228,Rekishi ni Nokoru Akujo ni Naru zo,2024,Light novel,Comedy,13,121190,95396,Q3,0.7862,0.6276,0.0052,0.899,0.7714,Надёжный просмотр,Дебют
51403,Renai Flops,2022,Original,Comedy,12,172099,122575,Q3,0.7121,0.4616,0.0049,0.8513,0.5995,Остальные,Дебют
38006,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,2022,Original,Sci-Fi,12,25838,12625,Q1 малые,0.4885,0.2506,0.0027,0.7351,0.1172,Остальные,Дебют
53213,Revenger,2023,Original,Action,12,90666,59978,Q2,0.6613,0.3764,0.0032,0.7685,0.3824,Остальные,Дебют
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,2020,Web manga,Comedy,12,383228,264707,Q4 крупные,0.6907,0.5039,0.0031,0.8521,0.502,Остальные,Дебют
