mal_id,episode,retention,title,segment,source,title_type
48418,1,0.8979,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",Остальные,Light novel,Продолжение
48441,1,0.8828,The Legend of Heroes: Sen no Kiseki - Northern War,Остальные,Game,Дебют
48471,1,0.9137,Tsuki to Laika to Nosferatu,Остальные,Light novel,Дебют
48483,1,0.9522,Mieruko-chan,Флагманы,Web manga,Дебют
48491,1,0.8991,Yama no Susume: Next Summit,Остальные,Manga,Продолжение
48542,1,0.9381,Do It Yourself!!,Остальные,Original,Дебют
48553,1,0.9299,Akebi-chan no Sailor-fuku,Нишевые любимчики,Web manga,Дебют
48556,1,0.9332,Takt Op. Destiny,Нишевые любимчики,Mixed media,Дебют
48567,1,0.8866,Visual Prison,Нишевые любимчики,Original,Дебют
48569,1,0.9669,86 Part 2,Флагманы,Light novel,Продолжение
48580,1,0.9404,Vanitas no Karte,Нишевые любимчики,Manga,Дебют
48583,1,0.9765,Shingeki no Kyojin: The Final Season Part 2,Флагманы,Manga,Продолжение
48633,1,0.9329,Liar Liar,Остальные,Light novel,Дебют
48643,1,0.9323,Koi wa Sekai Seifuku no Ato de,Надёжный просмотр,Manga,Дебют
48644,1,0.9075,Gyakuten Sekai no Denchi Shoujo,Остальные,Original,Дебют
48649,1,0.8885,Fuuto Tantei,Нишевые любимчики,Manga,Дебют
48736,1,0.9729,Sono Bisque Doll wa Koi wo Suru,Флагманы,Manga,Дебют
48742,1,0.9118,"Kono Healer, Mendokusai",Остальные,Web manga,Дебют
48760,1,0.9593,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Надёжный просмотр,Light novel,Дебют
48761,1,0.9483,Saihate no Paladin,Надёжный просмотр,Light novel,Дебют
48775,1,0.9162,Kaginado,Остальные,Original,Дебют
48776,1,0.8908,Build Divide: Code Black,Остальные,Mixed media,Дебют
48777,1,0.8886,Build Divide: Code White,Остальные,Mixed media,Дебют
48779,1,0.9456,Deaimon,Надёжный просмотр,Manga,Дебют
48804,1,0.946,Isekai Shokudou 2,Надёжный просмотр,Light novel,Продолжение
48842,1,0.9145,Mahoutsukai Reimeiki,Остальные,Light novel,Дебют
48849,1,0.93,Sonny Boy,Нишевые любимчики,Original,Дебют
48857,1,0.9107,Healer Girl,Остальные,Original,Дебют
48858,1,0.9247,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,Остальные,Original,Дебют
48926,1,0.9629,"Komi-san wa, Comyushou desu.",Флагманы,Manga,Дебют
48981,1,0.9036,Mahou Shoujo Magical Destroyers,Остальные,Original,Дебют
48997,1,0.9409,Fantasy Bishoujo Juniku Ojisan to,Надёжный просмотр,Web manga,Дебют
49109,1,0.9518,Kami-tachi ni Hirowareta Otoko 2nd Season,Надёжный просмотр,Light novel,Продолжение
49114,1,0.9532,Vanitas no Karte Part 2,Флагманы,Manga,Продолжение
49154,1,0.9177,High Card,Остальные,Mixed media,Дебют
49160,1,0.9109,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,Остальные,Manga,Дебют
49263,1,0.9346,Yaku nara Mug Cup mo: Niban Gama,Остальные,Manga,Продолжение
49292,1,0.8975,Deep Insanity: The Lost Child,Остальные,Mixed media,Дебют
49304,1,0.8824,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Остальные,Game,Дебют
49385,1,0.9019,Kaijin Kaihatsu-bu no Kuroitsu-san,Остальные,Web manga,Дебют
49438,1,0.9586,Isekai Yakkyoku,Надёжный просмотр,Light novel,Дебют
49470,1,0.9482,Mamahaha no Tsurego ga Motokano datta,Надёжный просмотр,Light novel,Дебют
49505,1,0.9443,Deji Meets Girl,Остальные,Original,Дебют
49514,1,0.8471,Gensou Sangokushi: Tengen Reishinki,Остальные,Game,Дебют
49520,1,0.9484,Aharen-san wa Hakarenai,Флагманы,Manga,Дебют
49551,1,0.9265,Hanabi-chan wa Okuregachi,Надёжный просмотр,Manga,Дебют
49612,1,0.9338,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Надёжный просмотр,Light novel,Дебют
49692,1,0.9265,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Остальные,Music,Дебют
49721,1,0.9481,Karakai Jouzu no Takagi-san 3,Флагманы,Manga,Продолжение
49766,1,0.9228,Under Ninja,Остальные,Manga,Дебют
49776,1,0.9415,Kumichou Musume to Sewagakari,Надёжный просмотр,Web manga,Дебют
